Policy_ID,Customer_Name,Age,Gender,State,Policy_Type,Annual_Premium,Risk_Score,Tenure_Months,Churned,Claim_Filed,Claim_Amount,Digital_User
POL100028,Karen Davis,50,Male,NC,Home,1028.29,49,78,0,1,3305.14,0
POL100029,Robert Johnson,29,Male,MI,Life,1141.87,16,78,0,0,0,0
POL100030,James Johnson,75,Male,GA,Auto,539.09,55,46,0,0,0,0
POL100031,Robert Jones,39,Male,NY,Life,542.57,32,38,1,1,1156.96,1
POL100032,Nancy Lopez,61,Male,CA,Auto,2988.17,92,35,1,0,0,0
POL100033,Lisa Garcia,42,Female,PA,Home,2696.37,55,1,1,1,4523.71,0
POL100034,Lisa Brown,66,Male,PA,Auto,1565.12,95,112,0,0,0,1
POL100035,Karen Johnson,44,Male,NY,Life,2594.93,22,29,0,0,0,0
POL100036,John Lopez,59,Female,TX,Auto,1685.62,30,4,0,0,0,1
POL100037,Emily Jones,45,Female,MI,Life,3358.69,10,61,0,0,0,0
POL100038,Jane Brown,33,Male,CA,Home,3401.16,28,97,0,1,32610.31,1
POL100039,Nancy Johnson,32,Female,OH,Life,1678.38,69,17,1,0,0,1
POL100040,James Jones,64,Male,NC,Life,3062.67,42,28,1,0,0,1
POL100041,Jessica Lopez,68,Male,CA,Home,2819.27,13,50,0,0,0,0
POL100042,Nancy Garcia,61,Female,PA,Home,1430,12,90,0,0,0,1
POL100043,Michael Garcia,72,Female,IL,Auto,1196.12,61,8,0,0,0,0
POL100044,Sarah Brown,69,Male,OH,Auto,1874.7,37,34,0,1,14358.69,1
POL100045,William Jones,74,Female,OH,Life,2844.05,79,59,1,0,0,0
POL100046,Karen Lopez,20,Female,NY,Life,3380.5,79,18,1,0,0,1
POL100047,William Johnson,54,Female,TX,Life,2790.74,64,95,0,0,0,0
POL100048,Lisa Lopez,68,Female,IL,Auto,3065.62,66,59,0,0,0,0
POL100049,Michael Rodriguez,24,Female,CA,Home,2309.19,96,27,1,0,0,1
POL100050,Karen Brown,38,Male,OH,Auto,3006.22,25,16,0,0,0,1
POL100051,Michael Davis,26,Male,CA,Home,2853.26,33,10,1,0,0,1
POL100052,James Jones,56,Female,FL,Life,1630.96,78,104,0,1,13536.25,0
POL100053,William Wilson,35,Male,MI,Life,2155.97,50,76,1,0,0,1
POL100054,Robert Brown,21,Female,IL,Life,2914.26,86,22,0,1,57339.82,0
POL100055,William Garcia,42,Female,IL,Home,638.17,56,16,1,0,0,1
POL100056,Nancy Smith,31,Female,MI,Auto,2924.24,85,12,1,1,55085.92,0
POL100057,Emily Smith,67,Female,NC,Auto,1033.66,78,75,1,1,8025.09,1
POL100058,Joseph Garcia,75,Female,NC,Auto,2044.05,40,84,1,1,15123.7,0
POL100059,James Jones,26,Female,FL,Auto,2924.83,39,51,0,0,0,1
POL100060,Jane Brown,43,Male,NY,Home,1261.46,27,1,1,1,5504.03,1
POL100061,Lisa Wilson,70,Male,PA,Auto,1237.42,53,27,0,0,0,0
POL100062,Sarah Brown,19,Male,MI,Auto,1708.29,36,67,0,0,0,0
POL100063,William Davis,37,Female,GA,Auto,3183.93,35,12,0,1,7590.96,0
POL100064,James Lopez,45,Male,FL,Home,501.33,69,30,0,0,0,1
POL100065,Jessica Williams,64,Female,OH,Home,3204.15,27,9,0,1,20431.72,0
POL100066,David Williams,24,Female,IL,Life,961.42,98,53,1,0,0,1
POL100067,Emily Wilson,61,Male,TX,Auto,3470.26,65,61,1,0,0,0
POL100068,Robert Rodriguez,25,Female,IL,Auto,3364.54,40,54,0,0,0,1
POL100069,David Wilson,64,Female,NC,Home,1984.03,68,37,1,0,0,1
POL100070,Lisa Miller,52,Female,NY,Home,2038.16,11,65,0,0,0,1
POL100071,Lisa Miller,31,Male,MI,Auto,1944.65,48,42,0,1,12442.17,1
POL100072,Sarah Brown,34,Female,OH,Home,2406.33,70,49,1,0,0,1
POL100073,Michael Rodriguez,53,Female,TX,Life,772.17,72,4,1,0,0,0
POL100074,Jessica Johnson,67,Female,IL,Auto,597.85,27,64,1,0,0,1
POL100075,Joseph Smith,57,Male,IL,Home,673.11,26,79,0,0,0,0
POL100076,Nancy Johnson,21,Male,NY,Auto,1833.1,48,51,0,1,17586.79,1
POL100077,Michael Lopez,19,Female,OH,Auto,1326.64,80,91,0,0,0,0
POL100078,Michael Lopez,23,Female,FL,Auto,2366.12,63,72,1,0,0,1
POL100079,James Martinez,71,Female,NY,Life,3477.33,85,60,0,1,18297.2,1
POL100080,Jane Miller,59,Female,OH,Auto,1658.97,44,87,0,0,0,1
POL100081,James Martinez,21,Female,TX,Auto,2221.52,20,79,0,0,0,1
POL100082,Jessica Rodriguez,71,Female,IL,Life,1746.81,70,91,0,0,0,1
POL100083,David Rodriguez,46,Female,IL,Auto,3041.82,53,31,1,0,0,1
POL100084,Nancy Smith,35,Male,GA,Auto,3206.71,77,103,0,0,0,1
POL100085,William Wilson,43,Male,MI,Home,3132.07,34,111,1,0,0,0
POL100086,Jane Lopez,61,Male,PA,Auto,3423.12,57,72,1,1,25234.78,0
POL100087,Robert Jones,51,Male,CA,Auto,582.56,41,94,1,0,0,1
POL100088,Joseph Lopez,27,Female,FL,Home,3019.45,93,58,1,0,0,1
POL100089,Sarah Johnson,53,Female,FL,Auto,2755.32,13,119,0,0,0,0
POL100090,David Miller,31,Male,NY,Life,1186.08,47,106,0,1,7575.79,1
POL100091,Michael Davis,48,Female,PA,Life,3368.96,72,82,1,0,0,1
POL100092,John Wilson,65,Female,FL,Home,944.53,56,4,1,0,0,0
POL100093,Karen Jones,32,Male,CA,Auto,2538.65,10,111,0,1,7622.2,1
POL100094,Robert Williams,25,Female,MI,Home,1174.67,12,107,0,0,0,1
POL100095,Robert Johnson,31,Female,IL,Home,1794.14,95,22,0,1,11720.3,0
POL100096,Nancy Lopez,40,Female,MI,Life,2657.48,71,3,1,0,0,1
POL100097,David Lopez,74,Female,GA,Life,2189.97,73,79,1,0,0,0
POL100098,Robert Martinez,57,Female,MI,Home,1782.51,26,99,0,0,0,1
POL100099,Emily Williams,38,Male,OH,Home,1479.02,87,47,1,0,0,1
POL100100,Sarah Williams,33,Male,MI,Auto,3018.98,71,38,1,0,0,1
POL100101,Robert Rodriguez,62,Male,PA,Auto,931.44,44,33,0,0,0,1
POL100102,John Martinez,35,Male,NC,Auto,1790.31,22,78,0,1,10904.76,1
POL100103,Sarah Davis,64,Female,OH,Home,3211.27,44,48,1,0,0,1
POL100104,John Johnson,70,Male,GA,Auto,3037.55,52,65,0,1,17308.57,0
POL100105,Sarah Jones,41,Male,NC,Life,1702.83,11,117,0,0,0,0
POL100106,Emily Smith,43,Female,NY,Life,2789.33,65,113,0,1,16356.9,1
POL100107,Emily Martinez,42,Male,PA,Home,2969.48,86,26,1,1,17186.74,1
POL100108,Jane Johnson,62,Female,PA,Home,3166.66,60,8,1,1,17225.24,0
POL100109,Karen Davis,58,Male,PA,Home,2133.52,63,50,1,0,0,0
POL100110,Nancy Johnson,46,Male,PA,Life,1113.38,25,80,0,0,0,1
POL100111,Joseph Rodriguez,32,Female,GA,Auto,1265.93,27,38,0,0,0,1
POL100112,Joseph Williams,62,Male,TX,Life,1387.08,16,10,0,0,0,1
POL100113,Michael Lopez,18,Female,GA,Auto,2281.41,54,42,0,0,0,1
POL100114,Jessica Rodriguez,42,Female,GA,Life,598.43,45,37,0,0,0,1
POL100115,Michael Jones,24,Female,FL,Home,2408.13,50,26,1,0,0,1
POL100116,Robert Martinez,26,Female,NC,Auto,1593.06,51,92,1,0,0,1
POL100117,James Brown,41,Male,TX,Auto,1385.73,16,12,0,0,0,0
POL100118,Robert Wilson,18,Female,OH,Home,3138.49,24,84,0,0,0,1
POL100119,Karen Brown,61,Male,IL,Home,1880.01,69,49,0,0,0,1
POL100120,Karen Jones,25,Female,OH,Life,785.16,49,14,0,0,0,0
POL100121,James Lopez,41,Female,NY,Auto,2980.24,92,46,1,1,39625.59,1
POL100122,William Garcia,28,Female,MI,Auto,642.92,46,35,0,0,0,1
POL100123,Jessica Rodriguez,68,Female,CA,Home,2680.25,75,29,0,1,15171.07,0
POL100124,Jessica Johnson,34,Male,GA,Home,2821.72,64,12,1,0,0,0
POL100125,Emily Brown,25,Female,NC,Home,1557.81,86,116,1,1,8807.6,0
POL100126,Jane Garcia,52,Male,PA,Auto,2974.36,89,82,0,0,0,0
POL100127,John Martinez,52,Male,CA,Auto,2046.98,65,44,1,0,0,1
POL100128,Robert Brown,50,Female,FL,Home,1889.88,53,66,0,1,4080.06,1
POL100129,Lisa Brown,22,Female,NC,Auto,636.21,66,2,1,1,1985.98,1
POL100130,John Johnson,59,Female,PA,Life,1370.09,15,59,0,0,0,0
POL100131,Karen Lopez,56,Male,IL,Home,3293.03,41,17,1,1,13923.81,1
POL100132,John Brown,75,Female,IL,Auto,1675.47,83,10,1,0,0,0
POL100133,Jane Smith,58,Female,PA,Home,2140.1,27,18,1,0,0,0
POL100134,Nancy Garcia,45,Female,GA,Home,2096.07,77,22,1,1,10615.44,1
POL100135,Jane Rodriguez,24,Male,GA,Life,2271.29,82,83,1,0,0,1
POL100136,Emily Jones,26,Female,NY,Auto,683.99,16,58,0,0,0,0
POL100137,William Davis,25,Male,TX,Auto,1586.53,17,53,1,0,0,1
POL100138,Emily Rodriguez,29,Male,MI,Home,2669.38,73,1,0,0,0,1
POL100139,Michael Wilson,51,Female,MI,Life,1101.68,16,88,0,0,0,1
POL100140,Lisa Martinez,50,Female,TX,Home,1110.74,50,61,1,0,0,1
POL100141,Jessica Brown,65,Male,MI,Life,530.27,49,100,1,1,3472.46,1
POL100142,Joseph Davis,72,Female,PA,Life,1812.45,12,89,0,0,0,0
POL100143,Joseph Miller,40,Female,MI,Auto,3148.2,26,100,0,0,0,1
POL100144,Emily Johnson,41,Male,OH,Auto,655.7,75,31,1,1,5795.36,0
POL100145,Jane Lopez,54,Male,OH,Auto,1073.36,88,31,1,0,0,1
POL100146,James Garcia,52,Male,NY,Auto,1430.25,61,66,1,1,4080.36,1
POL100147,James Miller,61,Female,IL,Auto,2695.17,31,19,0,1,4388.41,1
POL100148,Jessica Wilson,57,Female,NC,Life,2421.91,13,53,0,0,0,1
POL100149,John Lopez,39,Male,GA,Auto,1747.83,15,76,0,0,0,1
POL100150,William Lopez,44,Female,FL,Home,2777.21,47,74,0,0,0,1
POL100151,Jane Smith,52,Female,OH,Life,2328.89,35,95,0,0,0,0
POL100152,James Wilson,18,Male,NC,Life,3188.12,20,109,0,0,0,1
POL100153,Sarah Johnson,52,Female,TX,Auto,2954.08,99,22,1,0,0,0
POL100154,Emily Brown,54,Male,OH,Auto,1258.44,26,23,1,0,0,0
POL100155,Emily Rodriguez,64,Female,MI,Life,1314.32,97,116,0,0,0,0
POL100156,Jessica Williams,31,Female,CA,Auto,876.07,40,87,0,0,0,0
POL100157,James Williams,20,Female,CA,Home,1510.89,86,15,0,0,0,1
POL100158,David Davis,18,Female,OH,Life,3498.63,44,26,0,0,0,1
POL100159,Emily Johnson,22,Male,FL,Home,1717.25,25,3,0,0,0,1
POL100160,Jessica Rodriguez,43,Female,FL,Auto,1161.47,88,87,1,0,0,1
POL100161,Jane Smith,72,Female,CA,Life,2787.45,27,20,0,1,14825.1,0
POL100162,William Rodriguez,31,Female,MI,Life,2127.41,71,109,0,1,11004.83,1
POL100163,Nancy Smith,56,Female,IL,Home,948.8,36,40,1,0,0,1
POL100164,Jane Brown,44,Male,TX,Life,1642.07,44,39,0,0,0,0
POL100165,Michael Miller,26,Male,TX,Home,1743.41,54,72,1,0,0,1
POL100166,Jessica Davis,32,Male,OH,Life,2761.49,44,18,1,0,0,1
POL100167,Emily Miller,32,Female,NC,Life,562.01,37,41,0,0,0,1
POL100168,John Williams,43,Male,OH,Life,1307.06,18,70,1,0,0,0
POL100169,James Smith,59,Female,PA,Home,2052.79,85,27,1,0,0,1
POL100170,James Jones,30,Female,FL,Auto,1306.54,24,100,0,1,8089,1
POL100171,Joseph Davis,68,Female,OH,Home,2385.3,30,15,0,0,0,1
POL100172,David Miller,49,Male,MI,Auto,1945.6,61,37,1,0,0,0
POL100173,Karen Wilson,56,Male,IL,Life,1585.13,44,58,0,0,0,1
POL100174,Joseph Rodriguez,66,Female,PA,Auto,3347.63,60,5,0,0,0,0
POL100175,William Wilson,69,Female,PA,Auto,2396.48,92,103,1,1,41135.03,0
POL100176,Jessica Williams,49,Male,CA,Life,889.82,64,73,1,0,0,0
POL100177,Emily Jones,21,Male,PA,Auto,2180.28,96,7,1,0,0,1
POL100178,Emily Smith,47,Male,NC,Life,2842.2,86,41,1,0,0,1
POL100179,Lisa Wilson,54,Female,NC,Life,2625.47,53,84,0,1,21844.08,0
POL100180,Robert Smith,40,Female,NC,Home,1016.27,74,10,1,1,2388.61,0
POL100181,Karen Garcia,56,Female,OH,Home,3417.26,97,62,0,0,0,0
POL100182,John Smith,62,Female,FL,Auto,1846.44,89,26,1,0,0,0
POL100183,Lisa Davis,32,Male,OH,Home,977.08,34,68,0,1,9222.62,1
POL100184,Robert Rodriguez,60,Male,GA,Auto,1040.59,96,102,1,0,0,1
POL100185,Michael Smith,46,Female,GA,Life,794.7,56,24,0,0,0,0
POL100186,Robert Johnson,53,Female,IL,Home,2910.55,89,78,1,1,14194.88,1
POL100187,Nancy Williams,30,Female,GA,Life,866.09,65,41,1,0,0,1
POL100188,Jane Martinez,49,Male,TX,Auto,875.38,47,65,1,0,0,1
POL100189,Jane Lopez,24,Female,TX,Home,3051.41,20,17,0,1,21035.96,0
POL100190,Nancy Brown,68,Male,OH,Life,1533.81,76,109,0,1,11067.13,1
POL100191,James Johnson,39,Female,IL,Life,592.57,24,24,1,1,4313.29,1
POL100192,Lisa Brown,45,Male,NY,Life,655.69,10,27,0,0,0,0
POL100193,Lisa Martinez,19,Male,NC,Life,926.51,16,7,0,0,0,1
POL100194,John Martinez,59,Male,PA,Life,1140.18,10,73,1,0,0,0
POL100195,Jane Miller,62,Male,GA,Home,2495.44,58,107,0,0,0,0
POL100196,William Martinez,74,Male,TX,Home,971.98,82,99,1,1,3650.26,1
POL100197,Lisa Rodriguez,70,Male,CA,Life,856.62,38,12,1,0,0,0
POL100198,Sarah Jones,23,Female,OH,Auto,2794.16,35,85,1,1,12037.05,1
POL100199,Emily Lopez,45,Female,MI,Home,2513.17,96,3,0,1,30981.12,0
POL100200,Karen Garcia,45,Female,OH,Home,1805.97,54,79,0,0,0,0
POL100201,Emily Jones,61,Female,OH,Life,2147.93,80,85,1,0,0,1
POL100202,James Williams,61,Female,OH,Auto,1435.95,21,10,0,0,0,0
POL100203,William Lopez,37,Male,FL,Home,1947.5,41,33,1,0,0,0
POL100204,David Davis,47,Male,NY,Home,2020.02,29,46,1,0,0,1
POL100205,Sarah Johnson,28,Male,MI,Auto,1661.71,60,59,0,0,0,1
POL100206,John Davis,75,Female,FL,Home,3219.72,90,52,1,1,10291.81,0
POL100207,Lisa Martinez,72,Male,TX,Life,548.19,45,6,1,0,0,1
POL100208,Jane Johnson,45,Male,MI,Auto,2846.51,76,2,0,0,0,0
POL100209,Robert Brown,42,Female,MI,Auto,873.15,10,29,0,0,0,1
POL100210,Robert Jones,56,Female,NC,Home,2892.64,36,119,0,0,0,0
POL100211,Michael Garcia,50,Male,CA,Auto,2347.74,49,40,1,1,3926.92,1
POL100212,Jane Brown,18,Male,MI,Home,3029.83,93,97,1,1,38043.93,1
POL100213,Sarah Jones,74,Female,MI,Life,792.54,23,61,0,0,0,0
POL100214,Michael Davis,44,Male,OH,Auto,2176.94,78,68,0,0,0,1
POL100215,Nancy Rodriguez,74,Male,NY,Auto,2003.26,96,68,1,0,0,0
POL100216,Karen Jones,69,Male,PA,Life,2618.58,88,29,1,0,0,0
POL100217,Lisa Lopez,30,Female,MI,Auto,2102.87,15,101,0,1,11470.88,1
POL100218,Robert Smith,58,Female,FL,Auto,2122.2,42,62,1,0,0,0
POL100219,William Rodriguez,20,Male,TX,Auto,1788.79,64,60,1,0,0,1
POL100220,David Lopez,56,Female,MI,Life,1426.5,28,84,0,0,0,1
POL100221,Jane Williams,23,Female,GA,Home,1946.79,86,41,1,0,0,1
POL100222,David Johnson,25,Male,CA,Home,855.48,38,87,1,0,0,1
POL100223,Jane Wilson,44,Female,PA,Life,3384.54,70,109,0,0,0,0
POL100224,Robert Williams,26,Male,NY,Auto,2643.23,79,82,0,0,0,1
POL100225,David Jones,54,Male,MI,Auto,3357.4,88,113,0,1,23777.83,1
POL100226,Lisa Brown,50,Male,OH,Home,1180.18,89,89,1,0,0,0
POL100227,Karen Garcia,68,Male,NC,Life,3138.02,33,65,1,0,0,0
POL100228,Emily Lopez,59,Female,NC,Life,2926.37,32,118,1,0,0,0
POL100229,William Jones,61,Female,FL,Home,2531.46,19,64,1,0,0,1
POL100230,Robert Davis,41,Male,TX,Auto,2375.09,63,79,1,1,6524.27,1
POL100231,David Smith,32,Male,GA,Home,1449.65,50,63,0,0,0,1
POL100232,Jane Lopez,71,Male,PA,Life,2949.23,58,98,0,0,0,1
POL100233,James Jones,49,Female,FL,Home,2004.55,26,48,0,0,0,1
POL100234,John Smith,49,Female,TX,Auto,712.67,65,20,1,0,0,0
POL100235,Sarah Williams,41,Female,GA,Life,1438.59,54,118,0,1,12440.73,1
POL100236,William Jones,58,Male,FL,Home,3305.89,39,37,1,0,0,0
POL100237,Michael Wilson,69,Female,PA,Home,3052.04,53,64,0,1,8371.39,0
POL100238,Jessica Rodriguez,66,Male,TX,Life,3445.72,83,91,1,0,0,0
POL100239,Karen Miller,66,Male,IL,Auto,2383.98,64,86,1,1,21638.01,1
POL100240,Robert Smith,75,Male,CA,Life,1242.53,28,115,0,0,0,0
POL100241,Jane Johnson,69,Male,NY,Auto,988.45,38,5,0,0,0,0
POL100242,Karen Williams,29,Male,FL,Life,1060.74,11,34,0,1,5644.12,1
POL100243,Robert Smith,56,Female,MI,Life,559.39,45,39,0,0,0,0
POL100244,Nancy Garcia,19,Female,GA,Auto,1672.05,28,67,0,1,10322.14,1
POL100245,Lisa Rodriguez,20,Female,GA,Auto,1074.28,16,81,0,0,0,0
POL100246,Michael Miller,66,Female,FL,Life,1734.97,35,62,1,1,15824.56,0
POL100247,Michael Smith,54,Male,MI,Auto,3304.98,88,88,1,0,0,1
POL100248,David Garcia,66,Female,GA,Home,1791.62,47,24,1,1,7254.74,1
POL100249,Joseph Smith,73,Female,FL,Life,3133.95,12,3,0,0,0,1
POL100250,Sarah Brown,34,Male,TX,Home,2316.51,89,109,1,0,0,0
POL100251,William Brown,66,Female,GA,Home,1241.39,75,71,0,0,0,0
POL100252,William Johnson,19,Female,NC,Life,1567.56,80,89,1,1,4774.05,1
POL100253,Sarah Rodriguez,19,Female,CA,Auto,751.76,52,67,0,0,0,1
POL100254,Nancy Miller,45,Male,MI,Life,1500.39,71,79,1,0,0,0
POL100255,Lisa Wilson,71,Female,PA,Life,2532.62,80,93,1,0,0,1
POL100256,Michael Brown,40,Male,TX,Life,716.33,33,50,0,0,0,0
POL100257,Nancy Williams,54,Female,FL,Life,1116.2,48,29,1,0,0,1
POL100258,Joseph Williams,49,Female,GA,Home,1644.32,77,74,0,0,0,0
POL100259,James Smith,50,Female,CA,Auto,3446.15,53,32,1,0,0,1
POL100260,Michael Wilson,18,Female,NY,Home,2854.59,14,87,1,0,0,1
POL100261,Sarah Miller,36,Male,NY,Life,2700.46,64,39,0,0,0,0
POL100262,Joseph Lopez,19,Male,OH,Life,848.57,39,9,1,0,0,1
POL100263,Nancy Wilson,70,Male,NC,Life,2842.99,38,101,0,1,15036.26,0
POL100264,Joseph Brown,61,Male,GA,Home,2855.81,35,116,0,0,0,1
POL100265,David Williams,43,Female,OH,Life,2303.31,92,104,0,0,0,1
POL100266,Joseph Wilson,49,Female,CA,Auto,3471.09,35,14,1,1,12416.51,0
POL100267,Jane Miller,23,Female,OH,Auto,1475.76,46,68,0,0,0,1
POL100268,Nancy Smith,49,Female,IL,Auto,3323.82,62,64,1,0,0,1
POL100269,Nancy Davis,72,Male,NC,Auto,3244.19,39,20,1,0,0,0
POL100270,Emily Brown,21,Male,CA,Home,534.44,12,28,1,0,0,1
POL100271,Nancy Davis,72,Female,MI,Auto,1850.35,52,14,1,0,0,0
POL100272,Sarah Jones,28,Female,NC,Life,3431.31,16,44,0,1,20542.13,1
POL100273,Nancy Brown,73,Male,NY,Life,809.36,58,98,1,0,0,1
POL100274,Emily Smith,34,Female,GA,Life,2143.35,82,77,0,0,0,0
POL100275,William Brown,55,Female,GA,Auto,3436.87,50,95,0,1,13196.52,1
POL100276,James Garcia,41,Female,NY,Life,2166.49,86,97,0,0,0,1
POL100277,David Johnson,22,Male,IL,Life,1069.45,88,116,1,0,0,0
POL100278,Joseph Jones,69,Male,OH,Home,2246.55,63,39,0,0,0,1
POL100279,Sarah Lopez,51,Female,NY,Life,1113.32,78,28,0,1,9850.83,0
POL100280,Robert Miller,23,Male,PA,Life,2059.11,36,64,1,0,0,1
POL100281,William Rodriguez,39,Male,OH,Life,722.13,17,89,0,1,4811.02,1
POL100282,Sarah Smith,28,Female,NC,Life,2316.45,41,32,0,0,0,1
POL100283,Jane Jones,65,Female,GA,Home,2050.37,93,9,0,0,0,1
POL100284,Michael Martinez,33,Female,OH,Life,2720.48,73,28,1,0,0,0
POL100285,David Smith,50,Male,CA,Home,2392.1,19,95,0,0,0,0
POL100286,Jane Martinez,26,Female,CA,Life,2148.82,22,17,0,0,0,1
POL100287,James Garcia,23,Male,TX,Auto,2569.34,72,117,0,0,0,1
POL100288,Karen Garcia,33,Female,IL,Home,931.83,44,87,1,0,0,0
POL100289,James Martinez,46,Female,MI,Life,2286.08,70,77,1,0,0,0
POL100290,Robert Johnson,20,Female,CA,Home,1016.33,63,55,1,1,1526.57,1
POL100291,James Martinez,37,Female,TX,Life,3276.57,17,10,1,0,0,0
POL100292,Emily Jones,53,Female,PA,Life,705,38,80,1,0,0,0
POL100293,John Wilson,36,Male,OH,Life,1791.12,50,6,1,0,0,0
POL100294,James Smith,43,Male,PA,Life,2587.39,39,48,1,1,21595.72,0
POL100295,Robert Rodriguez,20,Female,TX,Life,1874.07,95,75,0,0,0,1
POL100296,William Wilson,36,Male,FL,Auto,776.29,30,116,1,0,0,1
POL100297,Karen Wilson,37,Female,GA,Life,2160.14,85,67,1,0,0,1
POL100298,William Brown,49,Female,FL,Auto,2424.9,20,92,0,0,0,0
POL100299,Sarah Miller,24,Female,IL,Home,2611.38,11,41,0,0,0,1
POL100300,Jane Lopez,69,Female,CA,Home,1619.78,59,79,0,0,0,0
POL100301,Sarah Martinez,58,Male,PA,Home,2190.98,50,60,1,0,0,0
POL100302,Sarah Lopez,50,Male,CA,Life,1852.06,75,77,0,1,7976.46,0
POL100303,Nancy Johnson,57,Male,GA,Life,2516.17,12,42,0,0,0,1
POL100304,Karen Jones,56,Female,GA,Life,2250.67,89,116,0,0,0,0
POL100305,Robert Jones,35,Male,FL,Home,2077.27,60,109,0,0,0,1
POL100306,William Miller,57,Male,IL,Auto,1248.57,77,81,0,1,5271.17,0
POL100307,Sarah Miller,18,Female,PA,Life,506.06,96,71,1,0,0,0
POL100308,Karen Jones,28,Male,IL,Life,1022.25,93,28,1,0,0,0
POL100309,Robert Williams,45,Female,GA,Home,851.2,34,102,1,0,0,0
POL100310,Emily Miller,74,Female,PA,Auto,1847.25,39,13,1,0,0,0
POL100311,William Miller,42,Male,GA,Home,2336.77,91,81,1,0,0,0
POL100312,William Wilson,67,Male,IL,Auto,1139.26,20,15,1,0,0,0
POL100313,Michael Martinez,40,Male,MI,Auto,3317.17,26,36,0,0,0,1
POL100314,Lisa Jones,48,Male,IL,Life,520.05,35,92,1,1,2473.38,0
POL100315,James Rodriguez,47,Male,MI,Home,2816.9,32,15,0,0,0,0
POL100316,Nancy Smith,59,Female,NY,Home,2375.61,65,110,1,0,0,0
POL100317,David Jones,52,Female,TX,Home,1620.66,61,117,1,0,0,0
POL100318,Emily Miller,24,Female,TX,Home,651.47,57,75,0,0,0,0
POL100319,Joseph Martinez,33,Female,NC,Auto,2382.46,29,56,0,0,0,1
POL100320,Lisa Lopez,43,Male,IL,Life,1656.84,11,95,0,0,0,0
POL100321,Sarah Davis,65,Female,NY,Life,3308.8,97,4,1,0,0,0
POL100322,Jessica Davis,74,Male,FL,Auto,2125.97,40,99,0,0,0,0
POL100323,William Brown,69,Female,PA,Auto,3318.95,36,98,1,0,0,1
POL100324,Robert Davis,66,Female,MI,Life,1161.45,11,52,0,0,0,1
POL100325,Joseph Wilson,19,Male,PA,Home,2677.18,87,91,0,0,0,1
POL100326,Michael Lopez,18,Male,IL,Home,2351.75,13,10,1,1,16126.49,1
POL100327,Jane Jones,65,Female,IL,Home,2718.22,22,94,0,0,0,0
POL100328,Robert Lopez,29,Female,TX,Auto,1144,44,45,0,0,0,1
POL100329,William Martinez,22,Male,MI,Life,2494.98,81,84,1,0,0,1
POL100330,Sarah Johnson,54,Female,IL,Auto,1994.12,75,29,0,0,0,0
POL100331,Nancy Brown,49,Female,GA,Life,2728.47,15,53,1,0,0,0
POL100332,William Jones,72,Male,GA,Life,1481.13,40,29,1,0,0,1
POL100333,Emily Brown,26,Male,IL,Life,3170.17,19,23,1,0,0,1
POL100334,Michael Smith,58,Male,TX,Home,752.9,30,57,1,1,3958.38,1
